# eventIndex trackIndex extX(cm) extY(cm) extZ(cm) extPx(MeV/c) extPy(MeV/c) extPz(MeV/c) reduced-chi2
665 0 -50.775156 7.882642 49.926510 -63.323870 -80.105118 13.127256 1.309272
669 0 41.472906 -30.593675 14.751298 99.068850 30.922985 -16.402625 1.350680
672 0 11.581251 50.496347 9.191228 -43.171648 87.419957 -39.124139 1.076067
673 0 50.423391 -10.978763 32.244472 91.423452 46.566036 -17.874572 0.741763
683 0 5.266119 51.235693 22.791450 -74.634716 58.634017 43.589871 1.149506
689 0 44.583223 25.917196 -27.623237 35.222132 97.525917 -4.941455 0.903865
690 0 37.175711 -35.828544 10.459333 103.458159 -9.611067 -10.330563 0.792770
692 0 -25.579652 44.880512 -29.703730 -99.122949 29.018437 17.806780 0.852902
696 0 3.984942 -51.126770 28.054176 85.971482 -56.025386 -3.028642 1.093193
698 0 -30.748426 -41.463543 -20.008957 0.454616 -103.392556 10.692999 1.115365
699 0 51.743661 -0.729759 20.198761 77.335134 67.247517 -20.298058 0.835163
700 0 -23.174508 46.087589 23.275901 -86.125538 15.264138 58.238871 1.006275
711 0 51.413369 5.466138 -33.601555 66.705666 72.494790 -35.658229 0.946690
713 0 51.565399 -3.134258 -40.522392 76.650769 71.977913 -9.669052 0.942483
716 0 -51.227610 1.523599 37.902603 -68.913259 -77.387027 4.005373 0.801607
717 0 48.731321 16.813753 -22.366780 34.811888 96.524164 17.861746 0.934909
719 0 50.979041 -6.673273 13.322866 59.863560 66.437967 54.574754 0.940261
722 0 28.651986 -42.511509 37.166279 101.732172 -6.247422 23.294482 0.789887
723 0 11.192400 -50.262561 15.039559 91.841348 -27.951457 -42.555042 0.964217
726 0 -14.618880 49.186268 -39.538864 -96.755557 32.848958 -21.363243 0.824807
731 0 33.538322 38.974553 24.422629 -30.341173 98.896369 16.050389 0.736893
734 0 -45.743638 23.866699 31.982508 -98.181456 -32.955505 -15.061416 1.085580
735 0 23.511405 -45.542679 -43.536610 101.080522 -4.053537 -5.072482 0.802431
736 0 -44.714090 25.655276 20.181428 -97.963765 -33.139523 18.197233 0.977212
744 0 45.333141 24.157962 6.503114 2.826413 103.259087 -17.932225 0.923760
745 0 44.894772 24.798945 -4.063940 7.086368 80.300696 -66.413172 1.213937
754 0 42.028820 -29.067139 32.334576 92.032425 46.132699 3.985884 0.971421
755 0 -46.587328 -21.517097 -8.863319 -41.234076 -84.721573 -45.234006 1.041058
757 0 13.203307 49.626247 37.463207 -57.209127 85.531108 12.993258 0.928382
759 0 48.857848 16.818546 27.974587 49.860295 91.695771 5.397214 1.001660
766 0 -5.484671 -51.319665 -41.980450 67.523725 -75.487897 -3.598949 0.920477
769 0 -44.648328 25.616001 48.443303 -99.433541 -27.989948 14.259918 1.193970
770 0 46.517252 22.032515 31.043557 22.516815 102.291629 -5.455470 0.942756
774 0 -51.371187 -3.424225 -30.975075 -70.473477 -75.822763 -9.408491 1.090918
775 0 0.641277 -51.761600 44.044081 61.396383 -80.406211 24.610180 1.015686
778 0 45.849577 -24.049060 -37.498801 102.685764 15.921988 -15.221965 0.950273
779 0 38.202638 34.633266 -5.071612 6.977994 103.949249 11.029281 1.125813
780 0 -16.717985 -48.882076 29.495390 52.417431 -88.156514 -16.146712 0.750774
786 0 33.161354 -39.765369 -30.297012 97.426482 -20.426791 -34.161251 0.928762
787 0 -31.733385 -40.162969 12.857343 21.118363 -100.931883 -13.720662 1.153562
788 0 49.060370 -15.133101 14.681134 76.199323 61.382778 -8.982885 1.061366
789 0 41.537003 30.561550 -26.171814 6.217993 103.951164 -12.718017 1.119604
793 0 -33.688579 -39.164533 31.543617 10.926785 -98.703250 3.422714 1.024105
